count	word
16488462	taklif
16363701	havola
16238554	elementidan
16230939	yuborishaudioni
16230939	tinglashhujjat
15028838	va
4925776	bilan
4745910	hujjatga
4628482	yoki
4578542	oʻzbekiston
3852602	uchun
3733083	respublikasi
2810896	qilish
2734555	tahrirga
2419473	davlat
2255184	olishhujjatga
2097122	boʻyicha
2060178	toʻgʻrisidagi
1895700	respublikasining
1798091	boshqa
1784916	qonun
1770992	tomonidan
1720325	toshkent
1662579	sud
1614153	ishlab
1580721	yil
1579074	bir
1469244	tumani
1466233	ish
1429538	boʻlgan
1429471	etish
1399150	ko'chasi
1387866	o'zbekistonda
1294770	oliy
1291652	milliy
1285990	vazirlar
1262913	hujjatlari
1256164	tahririda
1252177	telefon
1236674	ko'rsatish
1230747	qonunchilik
1223104	qonuni
1212971	hamda
1207360	amalga
1203583	qarori
1203296	soʻzlari
1187768	ushbu
1183377	birinchi
1180526	olish
1137533	chiqarish
1106837	faoliyat
1102740	shuningdek
1057577	tegishli
1047018	ma'muriy
1025512	ma'lumotlari
1024654	raqamini
1017759	saytda
1004991	mahkamasining
989741	toʻgʻrisida
982046	bugun
968487	o'zbekiston
961159	turlari
959363	bazasi
950319	toshkentda
937921	viloyati
922521	yoqdi
918860	sodir
912454	boʻlsa
909718	mumkin
901861	jinoyat
901019	ikkinchi
885602	mo'ljallar
882355	sotish
868561	batafsil
861376	uning
822594	qabul
799366	xizmatlar
799153	ta'lim
789906	berish
783986	bu
776802	nazarda
773312	olib
768316	uch
734196	baravarigacha
734187	tashkil
732870	belgilangan
730027	ko'rish
727711	etilgan
725063	lexuz
724549	sudi
723909	qismi
715814	ularning
714443	xizmatlari
714117	yoxud
712079	miqdorda
707361	jarima
703302	oʻz
702184	keyingi
693812	ham
691358	hammasini
682907	vazirligi
681312	yilgacha
680163	holda
674254	ishlar
673406	mchj
669223	besh
658268	bo'yicha
654487	tutilgan
644372	shaxs
636268	shu
632815	foydalanish
630308	mazkur
629083	kam
626491	mahrum
621363	sabab
618451	muvofiq
612929	baravaridan
606610	oʻtkazish
595632	tartibi
593808	xizmat
593575	koʻrib
591572	axborot
575068	ishlari
571268	deb
565639	qismining
565143	bolalar
564547	chiqish
564289	taqdim
557557	sharhiqarang
555116	qilingan
